id,player_name,card_name_version,team,era,primary_position,secondary_positions,current_ovr,current_tier,offense,defense,playmaking,shooting,rebounding,athleticism,intangibles,durability,badges,archetype,source_file,source_line
michael-jordan,Michael Jordan,Michael Jordan,Chicago Bulls,1984-2003,SG,SF,100,Galaxy,99,97,90,92,78,98,99,88,Clutch;Lockdown Defender;Three-Level Scorer,Two-Way Scoring Titan,src/data/players.ts,367
kareem-abdul-jabbar-bucks,Kareem Abdul-Jabbar (Bucks),Kareem Abdul-Jabbar (Bucks),Milwaukee Bucks,1969-1975,C,,99,Galaxy,98,95,67,74,97,90,97,95,Rim Protector;Post Scorer;Transition Force,Athletic Skyhook Titan,src/data/players.ts,373
kobe-bryant-24,Kobe Bryant (#24),Kobe Bryant (#24),Los Angeles Lakers,2006-2016,SG,SF,99,Galaxy,98,90,89,91,73,88,99,86,Clutch;Difficult Shot Maker;Three-Level Scorer,Complete Alpha Shot Creator,src/data/players.ts,380
lebron-james-14-18,LeBron James ('14 - '18),LeBron James ('14 - '18),Cleveland Cavaliers,2014-2018,SF,PG;PF,99,Galaxy,99,90,99,84,86,94,99,94,Floor General;Clutch;Three-Level Scorer,Complete Offensive Engine,src/data/players.ts,372
shaquille-o-neal-lakers,Shaquille O'Neal (Lakers),Shaquille O'Neal (Lakers),Los Angeles Lakers,1996-2004,C,,99,Galaxy,99,90,64,35,97,93,94,74,Interior Force;Glass Cleaner;Paint Gravity,Apex Paint Destroyer,src/data/players.ts,382
hakeem-olajuwon,Hakeem Olajuwon,Hakeem Olajuwon,Houston Rockets,1984-2002,C,PF,98,Galaxy,94,98,68,66,93,88,95,85,Rim Protector;Switchable Big;Post Scorer,Two-Way Dream Big,src/data/players.ts,385
kevin-durant-warriors,Kevin Durant (Warriors),Kevin Durant (Warriors),Golden State Warriors,2016-2019,SF,PF,98,Galaxy,98,88,80,94,80,88,92,82,Three-Level Scorer;Mismatch Weapon;Off-Ball Gravity,Two-Way Shotmaking Unicorn,src/data/players.ts,390
kobe-bryant-8,Kobe Bryant (#8),Kobe Bryant (#8),Los Angeles Lakers,1996-2006,SG,SF,98,Galaxy,97,95,82,84,71,98,95,83,Perimeter Stopper;Transition Force;Difficult Shot Maker,Explosive Two-Way Scorer,src/data/players.ts,379
larry-bird,Larry Bird,Larry Bird,Boston Celtics,1979-1992,SF,PF,98,Galaxy,97,85,92,95,84,71,99,79,Elite Shooter;Clutch;Connector,Playmaking Sniper,src/data/players.ts,376
magic-johnson,Magic Johnson,Magic Johnson,Los Angeles Lakers,1979-1996,PG,SG;SF,98,Galaxy,97,73,99,78,82,84,98,84,Floor General;Fast Break Genius;Matchup Nightmare,Tempo Maestro,src/data/players.ts,375
nikola-jokic-2023,Nikola Jokic (2023),Nikola Jokic (2023),Denver Nuggets,2022-2023,C,PF,98,Galaxy,97,86,99,90,96,72,99,91,Floor General;Elite Shooter;Glass Cleaner,Championship Offensive Hub,src/data/players.ts,391
steph-curry,Steph Curry,Steph Curry,Golden State Warriors,2009-Present,PG,SG,98,Galaxy,99,71,95,99,63,84,97,83,Elite Shooter;Off-Ball Gravity;Clutch,Gravity Shooter,src/data/players.ts,388
tim-duncan,Tim Duncan,Tim Duncan,San Antonio Spurs,1997-2016,PF,C,98,Galaxy,91,97,73,72,94,77,99,92,Rim Protector;Post Savant;Champion DNA,Fundamental Anchor,src/data/players.ts,384
wilt-chamberlain,Wilt Chamberlain,Wilt Chamberlain,Golden State Warriors,1959-1973,C,,98,Galaxy,95,95,68,52,99,99,90,96,Athletic Freak;Glass Cleaner;Interior Force,Mythic Athletic Center,src/data/players.ts,386
bill-russell,Bill Russell,Bill Russell,Boston Celtics,1956-1969,C,PF,97,Galaxy,78,99,72,44,98,91,99,92,Rim Protector;Champion DNA;Defensive IQ,Dynasty Defender,src/data/players.ts,387
kareem-abdul-jabbar-lakers,Kareem Abdul-Jabbar (Lakers),Kareem Abdul-Jabbar (Lakers),Los Angeles Lakers,1975-1989,C,,97,Galaxy,95,93,72,82,91,80,99,96,Rim Protector;Post Scorer;Champion DNA,Veteran Skyhook Anchor,src/data/players.ts,374
lebron-james-heat,LeBron James (Heat),LeBron James (Heat),Miami Heat,2010-2014,SF,PF;PG,97,Galaxy,97,95,92,79,80,99,96,90,Transition Force;Lockdown Defender;Clutch,Two-Way Apex Forward,src/data/players.ts,371
nikola-jokic-2025-26,Nikola Jokic (2025-26),Nikola Jokic (2025-26),Denver Nuggets,2025-26,C,,97,Galaxy,96,94,94,92,97,94,94,91,Elite Shooter;Floor General;Glass Cleaner,2025-26 Interior Anchor,src/data/players-current-2026.ts,205
dwayne-wade-03-10,Dwayne Wade ('03 - '10),Dwayne Wade ('03 - '10),Miami Heat,2003-2010,SG,PG,96,Galaxy,95,90,85,71,63,97,95,80,Transition Force;Perimeter Stopper;Clutch,Explosive Two-Way Slasher,src/data/players.ts,407
jerry-west,Jerry West,Jerry West,Los Angeles Lakers,1960-1974,SG,PG,96,Galaxy,95,84,88,92,62,84,96,83,Elite Shooter;Clutch;Lead Guard,Backcourt Killer,src/data/players.ts,395
kevin-durant-thunder,Kevin Durant (Thunder),Kevin Durant (Thunder),Oklahoma City Thunder,2007-2016,SF,SG;PF,96,Galaxy,97,76,72,92,79,91,88,84,Three-Level Scorer;Shot Creator;Transition Force,Explosive Scoring Unicorn,src/data/players.ts,389
kevin-garnett-timberwolves,Kevin Garnett (Timberwolves),Kevin Garnett (Timberwolves),Minnesota Timberwolves,1995-2007,PF,C,96,Galaxy,91,95,81,78,92,89,97,89,Switchable Big;Rim Protector;Connector,All-Around Swiss Army Big,src/data/players.ts,402
lebron-james-03-10,LeBron James ('03 - '10),LeBron James ('03 - '10),Cleveland Cavaliers,2003-2010,SF,SG;PG,96,Galaxy,94,84,90,73,77,99,88,90,Transition Force;Paint Pressure;Point Forward,Explosive Point Wing,src/data/players.ts,370
luka-doncic-mavs,Luka Doncic (Mavs),Luka Doncic (Mavs),Dallas Mavericks,2018-2025,PG,SG;SF,96,Galaxy,97,60,98,91,74,75,95,79,Floor General;Shot Creator;Clutch,Heliocentric Offensive Engine,src/data/players.ts,492
oscar-robertson,Oscar Robertson,Oscar Robertson,Milwaukee Bucks,1960-1974,PG,SG,96,Galaxy,95,79,96,79,82,86,95,90,Floor General;Mismatch Weapon;Triple-Double Machine,Power Creator,src/data/players.ts,392
shai-gilgeous-alexander-2025-26,Shai Gilgeous-Alexander (2025-26),Shai Gilgeous-Alexander (2025-26),Oklahoma City Thunder,2025-26,PG,,96,Galaxy,96,92,96,93,84,92,96,92,Elite Shooter;Floor General;Wing Stopper,2025-26 Offensive Engine,src/data/players-current-2026.ts,206
shaquille-o-neal-magic,Shaquille O'Neal (Magic),Shaquille O'Neal (Magic),Orlando Magic,1992-1996,C,,96,Galaxy,95,84,58,32,91,97,88,82,Interior Force;Transition Force;Paint Gravity,Open-Floor Super Center,src/data/players.ts,381
wilt-chamberlain-lakers,Wilt Chamberlain (Lakers),Wilt Chamberlain (Lakers),Los Angeles Lakers,1968-1973,C,,96,Galaxy,90,96,70,48,98,92,95,95,Glass Cleaner;Rim Protector;Interior Force,Veteran Dominant Interior Giant,src/data/players.ts,872
charles-barkley-suns,Charles Barkley (Suns),Charles Barkley (Suns),Phoenix Suns,1992-1996,PF,SF,95,Amethyst,96,73,76,74,92,86,91,80,Transition Force;Glass Cleaner;Paint Pressure,MVP Undersized Force,src/data/players.ts,406
chris-paul-clippers,Chris Paul (Clippers),Chris Paul (Clippers),Los Angeles Clippers,2011-2017,PG,,95,Amethyst,92,84,98,89,40,78,96,79,Floor General;Midrange Surgeon;Point-of-Attack,Complete Floor General,src/data/players.ts,415
dirk-nowitzki,Dirk Nowitzki,Dirk Nowitzki,Dallas Mavericks,1998-2019,PF,C,95,Amethyst,96,68,72,96,80,63,95,91,Elite Shooter;Mismatch Weapon;Clutch,Stretch Scoring Big,src/data/players.ts,401
elvin-hayes-bullets,Elvin Hayes (Bullets),Elvin Hayes (Bullets),Washington Wizards,Team-specific historical variant,PF,C,95,Amethyst,,,,,,,,,,,src/data/players.ts,735
giannis-antetokounmpo-2025-26,Giannis Antetokounmpo (2025-26),Giannis Antetokounmpo (2025-26),Milwaukee Bucks,2025-26,PF,,95,Amethyst,92,88,90,83,92,89,89,80,Floor General;Glass Cleaner;Switchable Big,2025-26 Frontcourt Enforcer,src/data/players-current-2026.ts,207
james-harden-rockets,James Harden (Rockets),James Harden (Rockets),Houston Rockets,2012-2021,SG,PG,95,Amethyst,98,61,96,91,62,78,91,85,Shot Creator;Floor General;Elite Shooter,Isolation Playmaker,src/data/players.ts,431
julius-erving,Julius Erving,Julius Erving,Philadelphia 76ers,1971-1987,SF,SG,95,Amethyst,93,85,80,73,76,95,94,88,Athletic Freak;Transition Force;Wing Stopper,Slashing Showman,src/data/players.ts,399
luka-doncic-2025-26,Luka Doncic (2025-26),Luka Doncic (2025-26),Los Angeles Lakers,2025-26,PG,,95,Amethyst,94,92,95,92,90,92,94,91,Elite Shooter;Floor General;Wing Stopper,2025-26 Offensive Engine,src/data/players-current-2026.ts,208
tracy-mcgrady-rockets,Tracy McGrady (Rockets),Tracy McGrady (Rockets),Houston Rockets,2004-2010,SG,SF;PG,95,Amethyst,95,75,86,85,66,91,91,58,Shot Creator;Playmaking Wing;Clutch,Complete Offensive Wing Engine,src/data/players.ts,447
victor-wembanyama-2025-26,Victor Wembanyama (2025-26),Victor Wembanyama (2025-26),San Antonio Spurs,2025-26,C,,95,Amethyst,94,93,90,90,95,93,94,90,Floor General;Glass Cleaner;Rim Protector,2025-26 Interior Anchor,src/data/players-current-2026.ts,209
allen-iverson-76ers,Allen Iverson (76ers),Allen Iverson (76ers),Philadelphia 76ers,1996-2006,SG,PG,94,Amethyst,95,63,81,73,44,94,93,75,Shot Creator;Paint Pressure;Clutch,Apex Volume Pressure Scorer,src/data/players.ts,418
