csv_player_name,source_player_name,team,previous_ovr,final_decision_ovr,delta,changed,match_mode,source_file,source_line
Aaron Holiday (2025-26),Aaron Holiday (2025-26),Houston Rockets,79,76,-3,yes,exact,src/data/players-current-2026.ts,592
Adem Bona (2025-26),Adem Bona (2025-26),Philadelphia 76ers,80,77,-3,yes,exact,src/data/players-current-2026.ts,470
Al Horford (2025-26),Al Horford (2025-26),Golden State Warriors,80,77,-3,yes,exact,src/data/players-current-2026.ts,380
Alijah Martin (2025-26),Alijah Martin (2025-26),Toronto Raptors,79,76,-3,yes,exact,src/data/players-current-2026.ts,641
Amir Coffey (2025-26),Amir Coffey (2025-26),Phoenix Suns,79,76,-3,yes,exact,src/data/players-current-2026.ts,624
Asa Newell (2025-26),Asa Newell (2025-26),Atlanta Hawks,79,76,-3,yes,exact,src/data/players-current-2026.ts,510
Ben Saraf (2025-26),Ben Saraf (2025-26),Brooklyn Nets,79,76,-3,yes,exact,src/data/players-current-2026.ts,608
Ben Sheppard (2025-26),Ben Sheppard (2025-26),Indiana Pacers,80,77,-3,yes,exact,src/data/players-current-2026.ts,529
Bogdan Bogdanovic (2025-26),Bogdan Bogdanovic (2025-26),Los Angeles Clippers,80,77,-3,yes,exact,src/data/players-current-2026.ts,593
Bradley Beal (2025-26),Bradley Beal (2025-26),Los Angeles Clippers,79,76,-3,yes,exact,src/data/players-current-2026.ts,652
Branden Carlson (2025-26),Branden Carlson (2025-26),Oklahoma City Thunder,79,76,-3,yes,exact,src/data/players-current-2026.ts,472
Brandon Clarke (2025-26),Brandon Clarke (2025-26),Memphis Grizzlies,79,76,-3,yes,exact,src/data/players-current-2026.ts,610
Brook Lopez (2025-26),Brook Lopez (2025-26),Los Angeles Clippers,81,78,-3,yes,exact,src/data/players-current-2026.ts,408
Bryce McGowens (2025-26),Bryce McGowens (2025-26),New Orleans Pelicans,79,76,-3,yes,exact,src/data/players-current-2026.ts,511
Buddy Hield (2025-26),Buddy Hield (2025-26),Atlanta Hawks,79,76,-3,yes,exact,src/data/players-current-2026.ts,492
Caleb Love (2025-26),Caleb Love (2025-26),Portland Trail Blazers,80,77,-3,yes,exact,src/data/players-current-2026.ts,546
Caleb Martin (2025-26),Caleb Martin (2025-26),Dallas Mavericks,80,77,-3,yes,exact,src/data/players-current-2026.ts,576
Cam Whitmore (2025-26),Cam Whitmore (2025-26),Washington Wizards,79,76,-3,yes,exact,src/data/players-current-2026.ts,559
Caris LeVert (2025-26),Caris LeVert (2025-26),Detroit Pistons,81,78,-3,yes,exact,src/data/players-current-2026.ts,473
Carter Bryant (2025-26),Carter Bryant (2025-26),San Antonio Spurs,80,77,-3,yes,exact,src/data/players-current-2026.ts,611
Charles Bassey (2025-26),Charles Bassey (2025-26),Golden State Warriors,79,76,-3,yes,exact,src/data/players-current-2026.ts,474
Clint Capela (2025-26),Clint Capela (2025-26),Houston Rockets,81,78,-3,yes,exact,src/data/players-current-2026.ts,451
Cody Williams (2025-26),Cody Williams (2025-26),Utah Jazz,79,76,-3,yes,exact,src/data/players-current-2026.ts,578
Cole Anthony (2025-26),Cole Anthony (2025-26),Milwaukee Bucks,80,77,-3,yes,exact,src/data/players-current-2026.ts,579
Corey Kispert (2025-26),Corey Kispert (2025-26),Atlanta Hawks,80,77,-3,yes,exact,src/data/players-current-2026.ts,475
D'Angelo Russell (2025-26),D'Angelo Russell (2025-26),Dallas Mavericks,79,76,-3,yes,exact,src/data/players-current-2026.ts,560
Dalano Banton (2025-26),Dalano Banton (2025-26),Boston Celtics,79,76,-3,yes,exact,src/data/players-current-2026.ts,645
Dalton Knecht (2025-26),Dalton Knecht (2025-26),Los Angeles Lakers,80,77,-3,yes,exact,src/data/players-current-2026.ts,646
De'Andre Hunter (2025-26),De'Andre Hunter (2025-26),Sacramento Kings,81,78,-3,yes,exact,src/data/players-current-2026.ts,494
De'Anthony Melton (2025-26),De'Anthony Melton (2025-26),Golden State Warriors,81,78,-3,yes,exact,src/data/players-current-2026.ts,430
Dean Wade (2025-26),Dean Wade (2025-26),Cleveland Cavaliers,81,78,-3,yes,exact,src/data/players-current-2026.ts,431
Dennis Schroeder (2025-26),Dennis Schröder (2025-26),Cleveland Cavaliers,81,78,-3,yes,fuzzy-name-distance-1,src/data/players-current-2026.ts,454
Derrick Jones Jr. (2025-26),Derrick Jones Jr. (2025-26),Los Angeles Clippers,81,78,-3,yes,exact,src/data/players-current-2026.ts,384
Devin Carter (2025-26),Devin Carter (2025-26),Sacramento Kings,79,76,-3,yes,exact,src/data/players-current-2026.ts,514
Drake Powell (2025-26),Drake Powell (2025-26),Brooklyn Nets,80,77,-3,yes,exact,src/data/players-current-2026.ts,654
Drew Timme (2025-26),Drew Timme (2025-26),Los Angeles Lakers,79,76,-3,yes,exact,src/data/players-current-2026.ts,595
Dru Smith (2025-26),Dru Smith (2025-26),Miami Heat,80,77,-3,yes,exact,src/data/players-current-2026.ts,455
