id,player_name,canonical_name,card_name_version,team,era,primary_position,secondary_positions,current_ovr,proposed_ovr,delta,current_tier,proposed_tier,internal_score,peak_ability,career_achievement,longevity,playoff_performance,awards_honors,historical_impact,badges,archetype,model_source,confidence,evidence_level,nearest_anchor_above_or_equal,nearest_anchor_below_or_equal,manual_review,manual_review_reason,reasoning,source_file,source_line
michael-jordan,Michael Jordan,Michael Jordan,Michael Jordan,Chicago Bulls,1984-2003,SG,SF,100,100,0,Galaxy,Galaxy,99.7,100,100,98,100,100,100,Clutch;Lockdown Defender;Three-Level Scorer,Two-Way Scoring Titan,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Global anchor: Michael Jordan is the only 100 by rule.,src/data/players.ts,367
lebron-james-14-18,LeBron James ('14 - '18),LeBron James,LeBron James ('14 - '18),Cleveland Cavaliers,2014-2018,SF,PG;PF,99,99,0,Galaxy,Galaxy,99.7,100,100,99,99,100,99,Floor General;Clutch;Three-Level Scorer,Complete Offensive Engine,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Peak all-around LeBron anchor at 99, below only Jordan.",src/data/players.ts,372
kareem-abdul-jabbar-bucks,Kareem Abdul-Jabbar (Bucks),Kareem Abdul-Jabbar,Kareem Abdul-Jabbar (Bucks),Milwaukee Bucks,1969-1975,C,,99,98,-1,Galaxy,Galaxy,99,99,99,100,96,100,99,Rim Protector;Post Scorer;Transition Force,Athletic Skyhook Titan,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Prime Kareem anchor: inner-circle peak plus unmatched longevity and honors.,src/data/players.ts,373
bill-russell,Bill Russell,Bill Russell,Bill Russell,Boston Celtics,1956-1969,C,PF,97,98,1,Galaxy,Galaxy,98.4,97,100,97,100,99,100,Rim Protector;Champion DNA;Defensive IQ,Dynasty Defender,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Russell anchor: unmatched defensive, title, playoff, and era impact profile.",src/data/players.ts,387
kobe-bryant-24,Kobe Bryant (#24),Kobe Bryant,Kobe Bryant (#24),Los Angeles Lakers,2006-2016,SG,SF,99,98,-1,Galaxy,Galaxy,98.1,98,99,96,98,99,98,Clutch;Difficult Shot Maker;Three-Level Scorer,Complete Alpha Shot Creator,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Prime Kobe anchor: complete alpha shot creation with elite honors and playoff value.,src/data/players.ts,380
tim-duncan,Tim Duncan,Tim Duncan,Tim Duncan,San Antonio Spurs,1997-2016,PF,C,98,98,0,Galaxy,Galaxy,98.1,97,99,99,98,99,96,Rim Protector;Post Savant;Champion DNA,Fundamental Anchor,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Duncan anchor: elite peak, longevity, playoff value, and two-way title equity.",src/data/players.ts,384
wilt-chamberlain,Wilt Chamberlain,Wilt Chamberlain,Wilt Chamberlain,Golden State Warriors,1959-1973,C,,98,98,0,Galaxy,Galaxy,98.1,100,98,98,92,98,98,Athletic Freak;Glass Cleaner;Interior Force,Mythic Athletic Center,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Warriors Wilt anchor: historic statistical dominance and era-relative peak.,src/data/players.ts,386
magic-johnson,Magic Johnson,Magic Johnson,Magic Johnson,Los Angeles Lakers,1979-1996,PG,SG;SF,98,98,0,Galaxy,Galaxy,97.9,98,99,94,99,99,99,Floor General;Fast Break Genius;Matchup Nightmare,Tempo Maestro,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Magic anchor: inner-circle offensive engine, playoff greatness, titles, and impact.",src/data/players.ts,375
lebron-james-heat,LeBron James (Heat),LeBron James,LeBron James (Heat),Miami Heat,2010-2014,SF,PF;PG,97,98,1,Galaxy,Galaxy,97.8,100,98,91,99,98,98,Transition Force;Lockdown Defender;Clutch,Two-Way Apex Forward,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Heat LeBron is an apex two-way version, separated just below the complete 2014-18 anchor.",src/data/players.ts,371
steph-curry,Steph Curry,Steph Curry,Steph Curry,Golden State Warriors,2009-Present,PG,SG,98,98,0,Galaxy,Galaxy,97.8,99,98,94,97,98,100,Elite Shooter;Off-Ball Gravity;Clutch,Gravity Shooter,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Curry anchor: era-changing offensive peak, titles, honors, and historic shooting impact.",src/data/players.ts,388
larry-bird,Larry Bird,Larry Bird,Larry Bird,Boston Celtics,1979-1992,SF,PF,98,98,0,Galaxy,Galaxy,96.6,99,98,87,97,98,98,Elite Shooter;Clutch;Connector,Playmaking Sniper,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Bird anchor: all-time peak, awards, portability, shotmaking, and rivalry-era impact.",src/data/players.ts,376
shaquille-o-neal-lakers,Shaquille O'Neal (Lakers),Shaquille O'Neal,Shaquille O'Neal (Lakers),Los Angeles Lakers,1996-2004,C,,99,98,-1,Galaxy,Galaxy,96.6,100,96,88,99,97,96,Interior Force;Glass Cleaner;Paint Gravity,Apex Paint Destroyer,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Apex Shaq anchor: one of the most dominant peaks ever with elite playoff translation.,src/data/players.ts,382
kareem-abdul-jabbar-lakers,Kareem Abdul-Jabbar (Lakers),Kareem Abdul-Jabbar,Kareem Abdul-Jabbar (Lakers),Los Angeles Lakers,1975-1989,C,,97,97,0,Galaxy,Galaxy,98.1,96,100,100,96,100,98,Rim Protector;Post Scorer;Champion DNA,Veteran Skyhook Anchor,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Lakers Kareem keeps all-time career value but is slightly below the younger peak card.,src/data/players.ts,374
jerry-west,Jerry West,Jerry West,Jerry West,Los Angeles Lakers,1960-1974,SG,PG,96,97,1,Galaxy,Galaxy,96.8,97,98,93,98,98,97,Elite Shooter;Clutch;Lead Guard,Backcourt Killer,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"West anchor: historically elite guard, postseason reputation, honors, and era impact.",src/data/players.ts,395
oscar-robertson,Oscar Robertson,Oscar Robertson,Oscar Robertson,Milwaukee Bucks,1960-1974,PG,SG,96,97,1,Galaxy,Galaxy,96.7,98,98,94,92,98,96,Floor General;Mismatch Weapon;Triple-Double Machine,Power Creator,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Oscar anchor: era-dominant jumbo guard production and all-time career achievement.,src/data/players.ts,392
hakeem-olajuwon,Hakeem Olajuwon,Hakeem Olajuwon,Hakeem Olajuwon,Houston Rockets,1984-2002,C,PF,98,97,-1,Galaxy,Galaxy,96.3,98,96,92,98,96,95,Rim Protector;Switchable Big;Post Scorer,Two-Way Dream Big,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Hakeem anchor: elite two-way peak and playoff carry, slightly below the 98 inner circle.",src/data/players.ts,385
kevin-durant-warriors,Kevin Durant (Warriors),Kevin Durant,Kevin Durant (Warriors),Golden State Warriors,2016-2019,SF,PF,98,97,-1,Galaxy,Galaxy,96,98,96,91,97,96,94,Three-Level Scorer;Mismatch Weapon;Off-Ball Gravity,Two-Way Shotmaking Unicorn,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Warriors Durant anchor: best complete version with elite scoring and Finals value.,src/data/players.ts,390
kobe-bryant-8,Kobe Bryant (#8),Kobe Bryant,Kobe Bryant (#8),Los Angeles Lakers,1996-2006,SG,SF,98,97,-1,Galaxy,Galaxy,95.4,98,95,90,95,95,96,Perimeter Stopper;Transition Force;Difficult Shot Maker,Explosive Two-Way Scorer,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Young Kobe is more explosive and defensive, but below the complete #24 card.",src/data/players.ts,379
dirk-nowitzki,Dirk Nowitzki,Dirk Nowitzki,Dirk Nowitzki,Dallas Mavericks,1998-2019,PF,C,95,96,1,Amethyst,Galaxy,96.4,96,97,97,96,96,96,Elite Shooter;Mismatch Weapon;Clutch,Stretch Scoring Big,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Amethyst to Galaxy.,"Dirk anchor: championship offensive big, elite longevity, and era-shaping spacing impact.",src/data/players.ts,401
wilt-chamberlain-lakers,Wilt Chamberlain (Lakers),Wilt Chamberlain,Wilt Chamberlain (Lakers),Los Angeles Lakers,1968-1973,C,,96,96,0,Galaxy,Galaxy,96,93,98,98,96,98,97,Glass Cleaner;Rim Protector;Interior Force,Veteran Dominant Interior Giant,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,"Lakers Wilt is an older, defense-and-role-shifted version below the Warriors peak.",src/data/players.ts,872
julius-erving,Julius Erving,Julius Erving,Julius Erving,Philadelphia 76ers,1971-1987,SF,SG,95,96,1,Amethyst,Galaxy,95.8,97,96,93,94,96,98,Athletic Freak;Transition Force;Wing Stopper,Slashing Showman,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Amethyst to Galaxy.,"Dr. J anchor: dominant peak, awards, ABA/NBA historical impact, and playoff stature.",src/data/players.ts,399
moses-malone,Moses Malone,Moses Malone,Moses Malone,Philadelphia 76ers,1974-1995,C,PF,94,96,2,Amethyst,Galaxy,95.8,96,97,94,96,97,92,Glass Cleaner;Interior Force;Motor,Relentless Glass Eater,exact-anchor,high,curated historical anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),yes,Tier change: Amethyst to Galaxy.,"Moses anchor: MVP force, title run, rebounding dominance, and career achievement.",src/data/players.ts,404
luka-doncic-mavs,Luka Doncic (Mavs),Luka Doncic,Luka Doncic (Mavs),Dallas Mavericks,2018-2025,PG,SG;SF,96,96,0,Galaxy,Galaxy,95.2,98.2,93.5,92.5,95.6,93.2,94.1,Floor General;Shot Creator;Clutch,Heliocentric Offensive Engine,active-card-anchor,medium,curated active-era anchor,Michael Jordan (100),Cooper Flagg (2025-26) (83),no,,Active/current card anchor set to 96; needs final stat-source validation before merge.,src/data/players.ts,492
